Name,Sex,Age,Team,NOC,Year,Season,City,Sport,Event,Medal
Nooran Matraf Ba,F,21,Yemen,YEM,2020,Summer,Tokyo,Swimming,Women's 100m Breaststroke,
Youness Baalla,M,22,Morocco,MAR,2020,Summer,Tokyo,Boxing,Men's Heavy (81-91kg),
Otgonbold Baatarkhuyag,M,24,Mongolia,MGL,2020,Summer,Tokyo,Archery,Men's Individual,
Otgonbold Baatarkhuyag,M,24,Mongolia,MGL,2020,Summer,Tokyo,Archery,Mixed Team,
Chinzorig Baatarsukh,M,29,Mongolia,MGL,2020,Summer,Tokyo,Boxing,Men's Light (57-63kg),
Kaur Simranjit Baatth,F,26,India,IND,2020,Summer,Tokyo,Boxing,Women's Light (57-60kg),
Judy Baauw,F,27,Netherlands,NED,2020,Summer,Tokyo,Cycling BMX Racing,Women,
Yudai Baba,M,25,Japan,JPN,2020,Summer,Tokyo,Basketball,Men,
Gulbadam Babamuratova,F,29,Turkmenistan,TKM,2020,Summer,Tokyo,Judo,Women -52 kg,
Nazim Babayev,M,23,Azerbaijan,AZE,2020,Summer,Tokyo,Athletics,Men's Triple Jump,
Tomas Babek,M,34,Czech Republic,CZE,2020,Summer,Tokyo,Cycling Track,Men's Sprint,
Tomas Babek,M,34,Czech Republic,CZE,2020,Summer,Tokyo,Cycling Track,Men's Keirin,
Aleksandra Babintseva,F,28,ROC,ROC,2020,Summer,Tokyo,Judo,Women -78 kg,
Aleksandra Babintseva,F,28,ROC,ROC,2020,Summer,Tokyo,Judo,Mixed Team,
Pia Babnik,F,17,Slovenia,SLO,2020,Summer,Tokyo,Golf,Women's Individual Stroke Play,
Anastasija Babovic,F,20,Montenegro,MNE,2020,Summer,Tokyo,Handball,Women,
Helvijs Babris,M,23,Latvia,LAT,2020,Summer,Tokyo,Cycling BMX Racing,Men,
Lorenzo Bacci,M,26,Italy,ITA,2020,Summer,Tokyo,Shooting,10m Air Rifle Men,
Lorenzo Bacci,M,26,Italy,ITA,2020,Summer,Tokyo,Shooting,50m Rifle 3 Positions Men,
Keanu Baccus,M,23,Australia,AUS,2020,Summer,Tokyo,Football,Men,
Helena Bach,F,21,Denmark,DEN,2020,Summer,Tokyo,Swimming,Women's 1500m Freestyle,
Helena Bach,F,21,Denmark,DEN,2020,Summer,Tokyo,Swimming,Women's 200m Butterfly,
Marta Bach,F,28,Spain,ESP,2020,Summer,Tokyo,Water Polo,Women,Silver
Aymen Bacha,M,21,Tunisia,TUN,2020,Summer,Tokyo,Weightlifting,Men's 109kg,
Florian Bacher,M,35,Austria,AUT,2020,Summer,Tokyo,Equestrian,Dressage Team,
Florian Bacher,M,35,Austria,AUT,2020,Summer,Tokyo,Equestrian,Dressage Individual,
Hovhannes Bachkov,M,28,Armenia,ARM,2020,Summer,Tokyo,Boxing,Men's Light (57-63kg),Bronze
Alexander Bachmann,M,27,Germany,GER,2020,Summer,Tokyo,Taekwondo,Men +80kg,
Simon Bachmann,M,22,Seychelles,SEY,2020,Summer,Tokyo,Swimming,Men's 200m Butterfly,
Dominika Bacmaga,F,25,Poland,POL,2020,Summer,Tokyo,Athletics,4 x 400m Relay Mixed,
Phoebe Bacon,F,18,United States of America,USA,2020,Summer,Tokyo,Swimming,Women's 200m Backstroke,
Diana Bacosi,F,38,Italy,ITA,2020,Summer,Tokyo,Shooting,Skeet Women,Silver
Aly Badawy,M,20,Egypt,EGY,2020,Summer,Tokyo,Sailing,Men's One Person Dinghy - Laser,
Nardus Badenhorst,M,30,South Africa,RSA,2020,Summer,Tokyo,Water Polo,Men,
Kiran Badloe,M,26,Netherlands,NED,2020,Summer,Tokyo,Sailing,Men's Windsurfer - RS:X,Gold
Paula Badosa,F,23,Spain,ESP,2020,Summer,Tokyo,Tennis,Women's Singles,
Paula Badosa,F,23,Spain,ESP,2020,Summer,Tokyo,Tennis,Women's Doubles,
Paula Badosa,F,23,Spain,ESP,2020,Summer,Tokyo,Tennis,Mixed Doubles,
Hyeyoon Bae,F,32,Republic of Korea,KOR,2020,Summer,Tokyo,Basketball,Women,
Sanghee Bae,F,29,Republic of Korea,KOR,2020,Summer,Tokyo,Shooting,50m Rifle 3 Positions Women,
Facundo Bagnis,M,31,Argentina,ARG,2020,Summer,Tokyo,Tennis,Men's Singles,
Facundo Bagnis,M,31,Argentina,ARG,2020,Summer,Tokyo,Tennis,Men's Doubles,
Mamadou Bah,M,22,Guinea,GUI,2020,Summer,Tokyo,Swimming,Men's 50m Freestyle,
Samba Mamadou Bah,M,26,Guinea,GUI,2020,Summer,Tokyo,Judo,Men -73 kg,
Ramzi Bahloul,M,31,Tunisia,TUN,2020,Summer,Tokyo,Weightlifting,Men's 81kg,
Sara Bahmanyar,F,22,Islamic Republic of Iran,IRI,2020,Summer,Tokyo,Karate,Women's Kumite -55kg,
Meraf Bahta,F,32,Sweden,SWE,2020,Summer,Tokyo,Athletics,"Women's 10,000m",
Yauheni Bahutski,M,21,Belarus,BLR,2020,Summer,Tokyo,Athletics,Men's Discus Throw,
Li Bai,F,25,People's Republic of China,CHN,2020,Summer,Tokyo,Athletics,Women's Marathon,
Adamyuki Baig,M,22,Japan,JPN,2020,Summer,Tokyo,Handball,Men,
Sean Bailey,M,24,Jamaica,JAM,2020,Summer,Tokyo,Athletics,Men's 4 x 400m Relay,
Sean Bailey,M,24,Jamaica,JAM,2020,Summer,Tokyo,Athletics,4 x 400m Relay Mixed,
Margaux Bailleul,F,22,France,FRA,2020,Summer,Tokyo,Rowing,Women's Quadruple Sculls,
Eric Bailly,M,27,Côte d'Ivoire,CIV,2020,Summer,Tokyo,Football,Men,
Stefan Bajic,M,19,France,FRA,2020,Summer,Tokyo,Football,Men,
Natalia Bajor,F,24,Poland,POL,2020,Summer,Tokyo,Table Tennis,Women's Team,
Bajrang Bajrang,M,27,India,IND,2020,Summer,Tokyo,Wrestling,Men's Freestyle 65kg,Bronze
Singh Vir Angad Bajwa,M,25,India,IND,2020,Summer,Tokyo,Shooting,Skeet Men,
Georgia Baker,F,26,Australia,AUS,2020,Summer,Tokyo,Cycling Track,Women's Team Pursuit,
Georgia Baker,F,26,Australia,AUS,2020,Summer,Tokyo,Cycling Track,Women's Omnium,
Georgia Baker,F,26,Australia,AUS,2020,Summer,Tokyo,Cycling Track,Women's Madison,
Kurt Baker,M,32,New Zealand,NZL,2020,Summer,Tokyo,Rugby Sevens,Men,Silver
Nicklas Baker,M,26,Great Britain,GBR,2020,Summer,Tokyo,Athletics,Men's 4 x 400m Relay,
Nicklas Baker,M,26,Great Britain,GBR,2020,Summer,Tokyo,Athletics,4 x 400m Relay Mixed,
Perry Baker,M,35,United States of America,USA,2020,Summer,Tokyo,Rugby Sevens,Men,
Ronnie Baker,M,27,United States of America,USA,2020,Summer,Tokyo,Athletics,Men's 100m,
Ronnie Baker,M,27,United States of America,USA,2020,Summer,Tokyo,Athletics,Men's 4 x 100m Relay,
Hel Abdullah Baki,M,32,Bangladesh,BAN,2020,Summer,Tokyo,Shooting,10m Air Rifle Men,
Billy Bakker,M,32,Netherlands,NED,2020,Summer,Tokyo,Hockey,Men,
Gleb Bakshi,M,25,ROC,ROC,2020,Summer,Tokyo,Boxing,Men's Middle (69-75kg),Bronze
Hande Baladin,F,23,Turkey,TUR,2020,Summer,Tokyo,Volleyball,Women,
Dmitriy Balandin,M,26,Kazakhstan,KAZ,2020,Summer,Tokyo,Swimming,Men's 100m Breaststroke,
Dmitriy Balandin,M,26,Kazakhstan,KAZ,2020,Summer,Tokyo,Swimming,Men's 200m Breaststroke,
Manel Balastegui,M,21,Spain,ESP,2020,Summer,Tokyo,Rowing,Lightweight Men's Double Sculls,
Samuel Balaz,M,22,Slovakia,SVK,2020,Summer,Tokyo,Canoe Sprint,Men's Kayak Double 1000m,
Samuel Balaz,M,22,Slovakia,SVK,2020,Summer,Tokyo,Canoe Sprint,Men's Kayak Four 500m,Bronze
Barbora Balazova,F,29,Slovakia,SVK,2020,Summer,Tokyo,Table Tennis,Women's Singles,
Barbora Balazova,F,29,Slovakia,SVK,2020,Summer,Tokyo,Table Tennis,Mixed Doubles,
Milena Baldassarri,F,19,Italy,ITA,2020,Summer,Tokyo,Rhythmic Gymnastics,Individual All-Around,
Stephanie Balduccini,F,16,Brazil,BRA,2020,Summer,Tokyo,Swimming,Women's 4 x 100m Freestyle Relay,
Stephanie Balduccini,F,16,Brazil,BRA,2020,Summer,Tokyo,Swimming,Mixed 4 x 100m Medley Relay,
Roldani Baldwin,M,25,Dominican Republic,DOM,2020,Summer,Tokyo,Baseball/Softball,Baseball,Bronze
Olivija Baleisyte,F,22,Lithuania,LTU,2020,Summer,Tokyo,Cycling Track,Women's Omnium,
Masikau Iosefo Baleiwairiki,M,23,Fiji,FIJ,2020,Summer,Tokyo,Rugby Sevens,Men,Gold
Birhanu Balew,M,25,Bahrain,BRN,2020,Summer,Tokyo,Athletics,Men's 5000m,
Lars Balk,M,25,Netherlands,NED,2020,Summer,Tokyo,Hockey,Men,
Onur Balkan,M,25,Turkey,TUR,2020,Summer,Tokyo,Cycling Road,Men's Road Race,
Virag Balla,F,27,Hungary,HUN,2020,Summer,Tokyo,Canoe Sprint,Women's Canoe Single 200m,
Virag Balla,F,27,Hungary,HUN,2020,Summer,Tokyo,Canoe Sprint,Women's Canoe Double 500m,
Jose Isaias Balleza,M,26,Mexico,MEX,2020,Summer,Tokyo,Diving,Men's Synchronised 10m Platform,
Stefano Ballo,M,28,Italy,ITA,2020,Summer,Tokyo,Swimming,Men's 200m Freestyle,
Stefano Ballo,M,28,Italy,ITA,2020,Summer,Tokyo,Swimming,Men's 4 x 200m Freestyle Relay,
Rosario Balmaceda,F,22,Chile,CHI,2020,Summer,Tokyo,Football,Women,
Laszlo Matyas Balogh,M,21,Hungary,HUN,2020,Summer,Tokyo,Archery,Men's Individual,
Elizabeth Balogun,F,20,Nigeria,NGR,2020,Summer,Tokyo,Basketball,Women,
Bernardo Baloyes,M,27,Colombia,COL,2020,Summer,Tokyo,Athletics,Men's 200m,
Elisa Balsamo,F,23,Italy,ITA,2020,Summer,Tokyo,Cycling Track,Women's Team Pursuit,
Elisa Balsamo,F,23,Italy,ITA,2020,Summer,Tokyo,Cycling Track,Women's Omnium,
Elisa Balsamo,F,23,Italy,ITA,2020,Summer,Tokyo,Cycling Track,Women's Madison,
Grace Balsdon,F,28,Great Britain,GBR,2020,Summer,Tokyo,Hockey,Women,Bronze
Bryan Balsiger,M,24,Switzerland,SUI,2020,Summer,Tokyo,Equestrian,Jumping Team,
Bryan Balsiger,M,24,Switzerland,SUI,2020,Summer,Tokyo,Equestrian,Jumping Individual,
Matin Balsini,M,20,Islamic Republic of Iran,IRI,2020,Summer,Tokyo,Swimming,Men's 200m Butterfly,
Ksenija Balta,F,34,Estonia,EST,2020,Summer,Tokyo,Athletics,Women's Long Jump,
Ozkan Baltaci,M,27,Turkey,TUR,2020,Summer,Tokyo,Athletics,Men's Hammer Throw,
Tudor Baluta,M,22,Romania,ROU,2020,Summer,Tokyo,Football,Men,
Ondrej Balvin,M,28,Czech Republic,CZE,2020,Summer,Tokyo,Basketball,Men,
Sara Balzer,F,26,France,FRA,2020,Summer,Tokyo,Fencing,Women's Sabre Team,Silver
Babra Banda,F,21,Zambia,ZAM,2020,Summer,Tokyo,Football,Women,
Vitali Bandarenka,M,35,Belarus,BLR,2020,Summer,Tokyo,Boxing,Men's Middle (69-75kg),
Yuta Bando,M,24,Japan,JPN,2020,Summer,Tokyo,Athletics,Men's 5000m,
Dusan Banicevic,M,22,Montenegro,MNE,2020,Summer,Tokyo,Water Polo,Men,
Cameron Blair Bann,M,33,Canada,CAN,2020,Summer,Tokyo,Volleyball,Men,
Heather Bansley,F,33,Canada,CAN,2020,Summer,Tokyo,Beach Volleyball,Women,
Caterina Banti,F,34,Italy,ITA,2020,Summer,Tokyo,Sailing,Mixed Multihull - Nacra 17 Foiling,Gold
Manuel Banuelos,M,30,Mexico,MEX,2020,Summer,Tokyo,Baseball/Softball,Baseball,
Ivan Banzeruk,M,31,Ukraine,UKR,2020,Summer,Tokyo,Athletics,Men's 50km Race Walk,
Shanju Bao,F,23,People's Republic of China,CHN,2020,Summer,Tokyo,Cycling Track,Women's Team Sprint,Gold
Shanju Bao,F,23,People's Republic of China,CHN,2020,Summer,Tokyo,Cycling Track,Women's Sprint,
Shanju Bao,F,23,People's Republic of China,CHN,2020,Summer,Tokyo,Cycling Track,Women's Keirin,
